ID,SYMBOL,NAME,EXCHANGE
28674,SPY,SPDR S&P 500,NYSE Arca
28675,CMCSA,Comcast Corp,Nasdaq Global Select
28676,KMI,Kinder Morgan Inc,New York Stock Exchange
28677,INTC,Intel Corp,Nasdaq Global Select
28678,MU,Micron Technology Inc,Nasdaq Global Select
28679,GDX,VanEck Vectors Gold Miners,NYSE Arca
28680,GE,General Electric Co,New York Stock Exchange
28681,BAC,Bank of America Corp,New York Stock Exchange
28682,EEM,iShares MSCI Emerging Index Fund,NYSE Arca
28683,XLF,SPDR Select Sector Fund - Financial,NYSE Arca
28684,AAPL,Apple Inc,Nasdaq Global Select
28685,MSFT,Microsoft Corp,Nasdaq Global Select
28686,SIRI,Sirius XM Holdings Inc,Nasdaq Global Select
28687,HPQ,HP Inc,New York Stock Exchange
28688,CX,Cemex S.A.B. de C.V. Sponsored ADR,New York Stock Exchange
28689,EFA,iShares MSCI EAFE,NYSE Arca
28690,CZR,Caesars Entertainment Inc,Nasdaq Global Select
28691,QQQ,PowerShares QQQ Trust Series 1,NASDAQ Global Market
28692,F,Ford Motor Co,New York Stock Exchange
28693,AMD,Advanced Micro Devices Inc,NASDAQ Capital Market
28694,SNAP,Snap Inc,New York Stock Exchange
28695,FB,Facebook Inc,Nasdaq Global Select
28696,WFC,Wells Fargo & Co,New York Stock Exchange
28697,AIG,American International Group Inc,New York Stock Exchange
28698,T,AT&T Inc,New York Stock Exchange
28699,C,Citigroup Inc,New York Stock Exchange
28700,VALE,VALE S.A. American Depositary Shares Each Representing one,New York Stock Exchange
28701,MS,Morgan Stanley,New York Stock Exchange
28702,AKS,AK Steel Holding Corporation,New York Stock Exchange
28703,JPM,JPMorgan Chase & Co,New York Stock Exchange
28704,ORCL,Oracle Corp,New York Stock Exchange
28705,NKE,Nike Inc,New York Stock Exchange
28706,VWO,Vanguard FTSE Emerging Markets,NYSE Arca
28707,PG,Procter & Gamble Co,New York Stock Exchange
28708,FXI,iShares China Large-Cap,NYSE Arca
28709,IWM,iShares Russell 2000,NYSE Arca
28710,GSM,Ferroglobe PLC,Nasdaq Global Select
28712,BBD,Banco Bradesco Sa American Depositary Shares,New York Stock Exchange
28713,PFE,Pfizer Inc,New York Stock Exchange
28714,JD,JD.com Inc.,Nasdaq Global Select
28715,NOK,Nokia Corporation Sponsored American Depositary Shares,New York Stock Exchange
28716,TWTR,Twitter Inc,New York Stock Exchange
28717,AMLP,Alerian MLP,NYSE Arca
28718,AVGO,Broadcom Inc,Nasdaq Global Select
28719,AMAT,Applied Materials Inc,Nasdaq Global Select
28721,UVXY,ProShares Trust Ultra VIX Short Term Futures,NYSE Arca
28724,VEA,Vanguard FTSE Developed Markets,NYSE Arca
28725,ZNGA,Zynga Inc,Nasdaq Global Select
28726,XOM,Exxon Mobil Corp,New York Stock Exchange
28727,QCOM,Qualcomm Inc,Nasdaq Global Select
28728,TVIX,VelocityShares Daily 2x VIX Short Term ETN,NASDAQ Global Market
28729,VIPS,Vipshop Holdings Ltd,New York Stock Exchange
28730,GLD,SPDR Gold Trust,NYSE Arca
28731,CSCO,Cisco Systems Inc,Nasdaq Global Select
28732,AXP,American Express Co,New York Stock Exchange
28733,BMY,Bristol-Myers Squibb Co,New York Stock Exchange
28734,V,Visa Inc,New York Stock Exchange
28735,USO,United States Oil Fund,NYSE Arca
28736,GRPN,Groupon Inc,Nasdaq Global Select
28738,OIH,VanEck Vectors Oil Services,NYSE Arca
28739,GERN,Geron Corp,Nasdaq Global Select
28740,KEY,KeyCorp,New York Stock Exchange
28741,RF,Regions Financial Corp,New York Stock Exchange
28742,KR,Kroger Co,New York Stock Exchange
28743,HAL,Halliburton Co,New York Stock Exchange
28744,BABA,Alibaba Group Holding Ltd,New York Stock Exchange
28745,MRO,Marathon Oil Corp,New York Stock Exchange
28747,GILD,Gilead Sciences Inc,Nasdaq Global Select
28748,IEMG,iShares Core MSCI Emerging Markets,NYSE Arca
28749,GM,General Motors Co,New York Stock Exchange
28750,FCX,Freeport-McMoRan Inc,New York Stock Exchange
28751,CRM,Salesforce.Com Inc,New York Stock Exchange
28752,ATVI,Activision Blizzard Inc,Nasdaq Global Select
28753,SQ,Square Inc,New York Stock Exchange
28755,XLK,SPDR Select Sector Fund - Technology,NYSE Arca
28757,NUE,Nucor Corp,New York Stock Exchange
28758,XOP,SPDR S&P Oil & Gas Explor & Product,NYSE Arca
28759,SWN,Southwestern Energy Co,New York Stock Exchange
28760,LOW,Lowe`s Companies Inc,New York Stock Exchange
28761,RAD,Rite Aid Corp,New York Stock Exchange
28762,VEON,VEON Ltd.,Nasdaq Global Select
28763,HYG,iShares iBoxx $ High Yield Corporate Bond,NYSE Arca
28765,JNK,SPDR Bloomberg Barclays High Yield Bond,NYSE Arca
28766,EWJ,iShares MSCI Japan Index Fund,NYSE Arca
28767,XLU,SPDR Select Sector Fund - Utilities,NYSE Arca
28769,SLB,Schlumberger NV,New York Stock Exchange
28770,FLEX,Flex Ltd,Nasdaq Global Select
28771,FOXA,Fox Corp,Nasdaq Global Select
28772,ABBV,Abbvie Inc,New York Stock Exchange
28773,GIS,General Mills Inc,New York Stock Exchange
28774,VZ,Verizon Communications Inc,New York Stock Exchange
28775,XRX,Xerox Holdings Corp,New York Stock Exchange
28776,CVLT,Commvault Systems Inc,Nasdaq Global Select
28778,X,United States Steel Corp,New York Stock Exchange
28779,MAT,Mattel Inc,Nasdaq Global Select
